City_ID,City_ID,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
0,0,Hermanus,-34.4187,19.2345,77.81,86,96,2.68,"{'coord': {'lon': 19.2345, 'lat': -34.4187}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 77.81, 'feels_like': 79.34, 'temp_min': 77.81, 'temp_max': 77.81, 'pressure': 1010, 'humidity': 86, 'sea_level': 1010, 'grnd_level': 1007}, 'visibility': 10000, 'wind': {'speed': 2.68, 'deg': 256, 'gust': 3.83}, 'clouds': {'all': 96}, 'dt': 1674022193, 'sys': {'type': 2, 'id': 2006131, 'country': 'ZA', 'sunrise': 1674013735, 'sunset': 1674064640}, 'timezone': 7200, 'id': 3366880, 'name': 'Hermanus', 'cod': 200}",overcast clouds
1,1,Mahebourg,-20.4081,57.7,82.26,79,90,19.6,"{'coord': {'lon': 57.7, 'lat': -20.4081}, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}], 'base': 'stations', 'main': {'temp': 82.26, 'feels_like': 89.15, 'temp_min': 82.26, 'temp_max': 82.26, 'pressure': 1015, 'humidity': 79, 'sea_level': 1015, 'grnd_level': 1012}, 'visibility': 10000, 'wind': {'speed': 19.6, 'deg': 102, 'gust': 25.52}, 'rain': {'1h': 0.2}, 'clouds': {'all': 90}, 'dt': 1674022193, 'sys': {'type': 2, 'id': 2002134, 'country': 'MU', 'sunrise': 1674006191, 'sunset': 1674053716}, 'timezone': 14400, 'id': 934322, 'name': 'Mahébourg', 'cod': 200}",light rain
2,2,Porto Novo,6.4965,2.6036,73.17,88,56,3.02,"{'coord': {'lon': 2.6036, 'lat': 6.4965}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 73.17, 'feels_like': 74.32, 'temp_min': 73.17, 'temp_max': 73.17, 'pressure': 1010, 'humidity': 88, 'sea_level': 1010, 'grnd_level': 1008}, 'visibility': 10000, 'wind': {'speed': 3.02, 'deg': 333, 'gust': 3.78}, 'clouds': {'all': 56}, 'dt': 1674022194, 'sys': {'country': 'BJ', 'sunrise': 1674021954, 'sunset': 1674064405}, 'timezone': 3600, 'id': 2392087, 'name': 'Porto-Novo', 'cod': 200}",broken clouds
3,3,Bayan,46.0833,127.4,9.68,75,100,8.81,"{'coord': {'lon': 127.4, 'lat': 46.0833}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 9.68, 'feels_like': -2.92, 'temp_min': 9.68, 'temp_max': 9.68, 'pressure': 1019, 'humidity': 75, 'sea_level': 1019, 'grnd_level': 1002}, 'visibility': 10000, 'wind': {'speed': 8.81, 'deg': 138, 'gust': 19.24}, 'clouds': {'all': 100}, 'dt': 1674022268, 'sys': {'country': 'CN', 'sunrise': 1673996827, 'sunset': 1674029616}, 'timezone': 28800, 'id': 2038421, 'name': 'Bayan', 'cod': 200}",overcast clouds
4,4,Saint-Philippe,-21.3585,55.7679,83.79,84,100,15.5,"{'coord': {'lon': 55.7679, 'lat': -21.3585}, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}], 'base': 'stations', 'main': {'temp': 83.79, 'feels_like': 94.89, 'temp_min': 83.79, 'temp_max': 83.79, 'pressure': 1017, 'humidity': 84, 'sea_level': 1017, 'grnd_level': 1010}, 'visibility': 10000, 'wind': {'speed': 15.5, 'deg': 81, 'gust': 17.78}, 'rain': {'1h': 0.28}, 'clouds': {'all': 100}, 'dt': 1674022194, 'sys': {'type': 1, 'id': 2127, 'country': 'RE', 'sunrise': 1674006554, 'sunset': 1674054281}, 'timezone': 14400, 'id': 935215, 'name': 'Saint-Philippe', 'cod': 200}",light rain
5,5,Malkangiri,18.35,81.9,86.81,33,0,1.36,"{'coord': {'lon': 81.9, 'lat': 18.35}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}], 'base': 'stations', 'main': {'temp': 86.81, 'feels_like': 84.99, 'temp_min': 86.81, 'temp_max': 86.81, 'pressure': 1017, 'humidity': 33, 'sea_level': 1017, 'grnd_level': 997}, 'visibility': 10000, 'wind': {'speed': 1.36, 'deg': 312, 'gust': 2.21}, 'clouds': {'all': 0}, 'dt': 1674022195, 'sys': {'country': 'IN', 'sunrise': 1674004041, 'sunset': 1674044247}, 'timezone': 19800, 'id': 1264075, 'name': 'Malakanagiri', 'cod': 200}",clear sky
6,6,Jamestown,42.097,-79.2353,38.01,75,100,10.36,"{'coord': {'lon': -79.2353, 'lat': 42.097}, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}], 'base': 'stations', 'main': {'temp': 36.52, 'feels_like': 29.16, 'temp_min': 34.56, 'temp_max': 38.01, 'pressure': 1005, 'humidity': 75}, 'visibility': 10000, 'wind': {'speed': 10.36, 'deg': 260, 'gust': 20.71}, 'rain': {'1h': 0.42}, 'clouds': {'all': 100}, 'dt': 1674022195, 'sys': {'type': 2, 'id': 2008828, 'country': 'US', 'sunrise': 1674045675, 'sunset': 1674079976}, 'timezone': -18000, 'id': 5122534, 'name': 'Jamestown', 'cod': 200}",light rain
7,7,Kruisfontein,-34.0033,24.7314,75.88,50,99,2.59,"{'coord': {'lon': 24.7314, 'lat': -34.0033}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 75.88, 'feels_like': 75.52, 'temp_min': 75.88, 'temp_max': 75.88, 'pressure': 1008, 'humidity': 50, 'sea_level': 1008, 'grnd_level': 983}, 'visibility': 10000, 'wind': {'speed': 2.59, 'deg': 263, 'gust': 5.77}, 'clouds': {'all': 99}, 'dt': 1674022196, 'sys': {'type': 2, 'id': 2035063, 'country': 'ZA', 'sunrise': 1674012473, 'sunset': 1674063262}, 'timezone': 7200, 'id': 986717, 'name': 'Kruisfontein', 'cod': 200}",overcast clouds
8,8,Saint Anthony,45.0205,-93.218,34.25,88,100,8.05,"{'coord': {'lon': -93.218, 'lat': 45.0205}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 31.66, 'feels_like': 24.4, 'temp_min': 25.32, 'temp_max': 34.25, 'pressure': 1013, 'humidity': 88}, 'visibility': 10000, 'wind': {'speed': 8.05, 'deg': 320}, 'clouds': {'all': 100}, 'dt': 1674022196, 'sys': {'type': 2, 'id': 2077981, 'country': 'US', 'sunrise': 1674049547, 'sunset': 1674082817}, 'timezone': -21600, 'id': 5044290, 'name': 'Saint Anthony', 'cod': 200}",overcast clouds
9,9,Ulundi,-28.3352,31.4162,77.29,64,100,5.1,"{'coord': {'lon': 31.4162, 'lat': -28.3352}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 77.29, 'feels_like': 77.72, 'temp_min': 77.29, 'temp_max': 77.29, 'pressure': 1014, 'humidity': 64, 'sea_level': 1014, 'grnd_level': 960}, 'visibility': 10000, 'wind': {'speed': 5.1, 'deg': 348, 'gust': 10.54}, 'clouds': {'all': 100}, 'dt': 1674022196, 'sys': {'country': 'ZA', 'sunrise': 1674011606, 'sunset': 1674060920}, 'timezone': 7200, 'id': 946257, 'name': 'Ulundi', 'cod': 200}",overcast clouds
